Re,Ro
199.940119760479,45.95994970059879
198.98802395209577,45.86911976047904
145.67065868263472,54.04381437125747
139.95808383233532,49.59314730538922
140.91017964071855,53.58966467065868
85.688622754491,58.403651497005974
197.0838323353293,45.778289820359284
199.940119760479,46.4140994011976
198.98802395209577,46.232439520958074
198.03592814371254,46.595759281437125
196.1317365269461,47.50405868263472
195.17964071856287,48.684847904191614
135.19760479041915,54.58879401197605
118.05988023952094,56.67788263473053
