Vmeasured,WLmeasured,Vconvert,Wlconvert,f calculated
2.17,3.84,0.0217,0.0384,0.565319426
2.15,3.51,0.0215,0.0351,0.613629883
2.16,3.74,0.0216,0.0374,0.576388889
2.16,3.63,0.0216,0.0363,0.595375723
